dirty_lines,clean_lines
" The expression patterns of these genes can be divided into two categories: KS4, PBZ1 and NAC4 were significantly induced in the control plants at 24 and 48 h after inoculated <SPECIES> (Figure 3)."," [6]LTH showed a highly susceptible phenotype, but IRBLkm-Ts appeared  more resistant ; only a few small lesions were found (Figure 1A)."
" However, PAL, PR1a, PR10b were increased along with the 12, 24 and 48 hpi."," The results of our miR167d expression time course indicated that in LTH, miR167d was reduced in expression at the 12 and 24 hpi timepoints, but it was elevated at 48 hpi.."
" To the contrary, in the transgenic plants which overexpression miR167d, all of these genes were lower at the corresponding time points, although these genes were also induced at some time points."," However, miR167d was reduced in expression at 12, 24 and 48 hpi in IRBLkm-Ts (Figure 1B)."
" At the same time, we measured the basal level of JA in the seeding with three leaves, it indicted that JA level is higher in the wildtype plant (Figure S2A).","As miR167d expression was influenced by <SPECIES> infection,  the role of miR167d in rice against rice blast is an important question."
"Furthermore, we conducted the infection process assay of <SPECIES> strain Zhong8-10-14 tagged by GFP on the leaf sheath of the control and miR167d overexpression transgenic plants by Zeiss fluorescence microscope."," Some of the target genes of miR167d are ARFs  and as ARFs regulate  growth and development  through auxin signalling, we hypothesized that auxin may play a role in rice immunity to <SPECIES>."
" At the 6 and 12 hpi, there were no significant difference between wild and transgenic plants (Figure 4)."," To test this, we constructed rice transgenic plants that overexpress miR167d in the Kasalath background."
" At 24 hpi, more than 90% spores generated the invasive hyphae and infected the first infected cell (Figure 4B)."," We identified two independent lines with elevated miR167d accumulation, and these were used for resistance analysis (Figure 2C)."
 But only 70% invasive hyphae were formed in the wild plants (Figure 4B)., Juvenile rice plants at the three leaf stage were used and separately sprayed with three different <SPECIES> strains with different virulence[7].
" As time goes on, at 36 and 48 hpi, the hyphae invaded more cells in transgenic plant compare with the control plants (Figure 4)."," While NC-34 and NC-10 are the high pathogenicity strains on Kasalath, Guy11 is less virulent strain to Kasalath."
"In the previous study, the target genes of miR167d has been identified by degradome sequencing (Li et al., 2010b; Wu et al., 2009).","  As expected, the overexpression lines showed more and larger disease lesions compared with the control plants infected with NC-34  using two different methods (punch and spray inoculation) (Figure 2A)."
" They are encoded the Auxin response factor (ARFs), Retinol dehydrogenase 14, Glutamate receptor 3.4 precursor and NBS-LRR disease resistance protein, respectively.", More fungal biomass was also accumulated in miR167d overexpression lines (Figure 2B).
" As we know, the role of miRNA is to suppress its target genes by transcriptional and translational level.", This indicates  that miR167d overexpression may promote susceptibility to <SPECIES> NC-10 and Guy11 were also observed to cause greater disease severity in the overexpression lines than wild-type as measured by lesion production and fungal biomass..
 So we conjectured that the mRNA level of the target genes should be down expressed in the miR167d overexpression lines.,"To investigate why overexpression of miR167d results in susceptibility, we examined the expression levels of typical defense-related and cell death related genes."
" For this purpose, we examined the expression level of the target genes in the miR167d overexpression plants."," Further, we performed microscopic to analysis to observe the infection process of <SPECIES> in the overexpression line relative to wild-type."
" As our expected, the mRNA level of 6 target genes, including Os02g06910 (OsARF6), Os07g29820 (NBS-LRR disease resistance protein), Os07g33790 (glutamate receptor 3.4 precursor), Os12g41950 (OsARF25), Os04g57610 (OsARF12), Os06g46410 (OsARF17), were significantly repressed in the overexpression lines, and the Os06g03830 (retinol dehydrogenase) was repressed in one line, but not significantly repressed in the other line (Figure 5A)."," qRT-PCR expression analysis revealed that the defense and cell death related genes KS4, PAL, NAC4, PR1a, PBZ1 and PR10b are typically expressed with two discernable patterns in wild-type controls.Error! Hyperlink reference not valid.Error! Hyperlink reference not valid.Error! Hyperlink reference not valid.Error! Hyperlink reference not valid."
 We also examined the protein level of Os04g57610 by a Yellow Fluorescent protein (YFP) based reporter system.," First, KS4, PBZ1, and NAC4 aresignificantly induced in the control plants at 24 and 48 h after  <SPECIES> inoculation (Figure 3)."
 We germinated a construct that expressing the target site of miR167d in the Os04g57610 with YFP.," Second, PAL, PR1a, PR10b showed elevated expression levels at 12, 24 and 48 hpi."
" Next, TargetOs04g57610-YFP was expressed along or co-expressed with miR167d in <SPECIES>, then we examined the fluorescence intensity by the microscope at 48 h after injection, at the same time, the protein level was compared by western blotting assay."," However, in the miR167d overexpression line, all of these genes were lower at the corresponding time points, although these genes were also induced at some time points[8]."
" As our expected, the fluorescence intensity became weaker and weaker follow by the increasing concentration of agrobacterium contain miR167d in the target site of Os04g57610 with YFP (TSOs04g57610-YFP) (Figure 5B).","  We also measured the basal level of JA in these plants, and our results indicate that JA accumulation was higher in the wild-type control (Figure S2A)."
 It was the same result the protein level (Figure 5C).,Observations of the <SPECIES> infection process were carried out using the  Zhong8-10-14 strain tagged with GFP.
" On the contrary, miR167d didn’t affect the intensity of YFP control (MTSOs04g57610-YFP) (Figure 5B, C)."," At the 6 and 12 hpi, there were no significant differences in the hyphal invasiveness of the pathogen between wild and transgenic plants (Figure 4)."
" In order to further conform the inhibition by miR167d on TSOs04g57610-YFP and whether the MIM167d works, the MIM167d is a mimicry of miR167d, which could trap miR167d just like a sponge, there are three nucleotides insertion at the position 10 and 11 of miR167d, and generate a loop at the mismatched site, so it could inhibited the function of mi167d (Franco-Zorrilla et al., 2007)."," However, at 24 hpi, more than 90% of the spores on the miR167d overexpression lines germinated invasive hyphae and infected the proximal cells (Figure 4B)."
" When TSOs04g57610-YFP, miR167d and MIM167d were coexpressed, the fluorescence intensity became stronger and stronger and the got the same result in the protein level follow by the increasing concentration of agrobacterium contain MIM167d (Figure 5B, D), but there was no effect on the MTSOs04g57610-YFP, all of these indicated that miR167d could suppress the TSOs04g57610-YFP, but MIM167d could recover that."," By contrast,only 70% invasive hyphae were formed in the wild-type plants (Figure 4B).At 36 and 48 hpi, the hyphae invaded more cells in transgenic plants relative to the controls(Figure 4)."
" These date show that miR167d could repress the expression of Os04g57610, and MIM167d could repress the miR167d and works very well.","Previously, the target genes of miR167d were identified by degradome sequencing (Li et al., 2010b; Wu et al., 2009)."
"In order to further investigate the role of the immunity against rice blast caused by miR167d in rice, we generated transgenic plants that overexpression MIM167d.",  We conjectured that the mRNA level of the miR167d target genes should be reduced in the miR167d overexpression lines..
" Because in the overexpression miR167d transgenic plants, the expression level of miR167d was significantly up regulate and its target genes were significantly repressed, and result in enhanced susceptibility to rice blast."," As expected, the mRNA level of 6 target genes, including Os02g06910 (OsARF6), Os07g29820 (NBS-LRR disease resistance protein), Os07g33790 (glutamate receptor 3.4 precursor), Os12g41950 (OsARF25), Os04g57610 (OsARF12), and Os06g46410 (OsARF17), were significantly repressed in the overexpression lines, and Os06g03830 (retinol dehydrogenase) was repressed in one line, but not significantly repressed in the other line (Figure 5A)."
" Based on these reach dates, we predicted that overexpression MIM167d will lead to down regular the expression level of miR167d and up regulate its target genes.", We also examined the protein level of Os04g57610 using a YFP-based reporter system.
" Firstly, we examined the expression level of miR167d in the transgenic plant of MIM167d, as our expected, miR167d was significantly reduced in the MIM167d plants (Figure 6A).", We germinated a construct that expressed the target site of miR167d in OsARF12 with YFP.
" Following by, we examined the target gene of miR167d, we get the same result, the expression level of all the target genes were significantly up regular in two transgenic plants which contain the MIM167d construct (Figure 6B)."," Next, ARF12-YFP was co-expressed with miR167d in <SPECIES> 48 h after injection, we examined fluorescence intensity and the protein level."
" Then, we tested the resistance of the transgenic plants against <SPECIES> strains NC-34 using the seeding with three leaves by spray and paunch methods, respectively.",      Both the protein level and the fluorescence intensity TSOsARF12-YFP fusion were observed to be inversely proportional to the concentration of Agrobacterium containing miR167d  (Figure 5B-C).
" Indeed, the number of lesions spots and the fungal biomass decreased significantly on the leaves from the transgenic plants compare with the control (Figure 7A, B).","  However, miR167d didn’t reduce the intensity of the YFP control (MTS-OsARF12-YFP) (Figure 5B, C)."
" And we got the same result by paunch method, the lesions area and fungal biomass were also reduced significantly in the transgenic plants (Figure 7C, D)."," In order to further confirm the inhibition by miR167d on TSOsARF12-YFP and whether MIM167d could compete with miR167d , we coexpressed TSOsARF12-YFP with both miR167d and MIM167d."
" At the same time, we also examined the resistance against another two <SPECIES> strain, as our expected, we got then same result, MIM167d plants revealed enhance resistance against NC-10 and Guy11, and the lesions area and fungal biomass were significantly reduced on the leaves from MIM167d plants."," ,Error! Hyperlink reference not valid."
" According these datas, up regulator the target genes of miR167d enhanced the resistance against rice blast.","  This co expression resulted in stronger fluorescence intensity and protein level followingthe increasing concentration of Agrobacterium containing MIM167d (Figure 5B, D), but there was no effect on  MTSOsARF12-YFP."
"Based on the result, we are inquisitive whether the defense related genes and cell death related genes will up regular in the MIM167d transgenic plants.","In order to further investigate the role of miR167d in rice blast immunity, we generated transgenic plants overexpressing MIM167d."
" Thus, we examined expression levels of some typical pathogen relative genes, and also used the microscopic to analysis the infection process of <SPECIES>.","	First, we examined the expression level of miR167d in the transgenic MIM167d plants."
" Firstly, seedlings with three leaves were used to examine the defense related genes by qRT-PCR, including KS4, PAL, NAC4, PR1a, PBZ1 and PR10b."," As expected, miR167d was significantly reduced in  MIM167d plants (Figure 6A)."
" As our expected, all of these genes were significantly up regular after induced by NC-34 at 12, 24 and 48 hpi (Figure 8)."," Next, we examined the target gene expression of miR167d and found the expression level of all the target genes was significantly upregulated in two transgenic plants which contained the MIM167d construct (Figure 6B)."
 And the expression level reached the highest point at 24 or 48 hpi.," Finally, we tested the resistance of the transgenic plants against the <SPECIES> strains NC-34, NC10, and Guy11 using  both spray and punch inoculation."
 And the expression level was on a few times or even hundred times in the transgenic plants compare with wild plants.," Indeed, the number of lesions spots and the fungal biomass decreased significantly on the leaves from the transgenic plants compare with the control with all three <SPECIES> strains."
 Another noteworthy point is that all the pathogen relative genes expression higher at the background level in the MIM167d plants compare with wild type., (Figure 7A-D).
" Meanwhile, we measured the basal level of JA in the seeding with three leaves, it indicted that JA level is lower in the wildtype plant (Figure S2B)."," We examined the expression level of  rice defense genes in MIM176d transgenic plants, and also used microscopic techniques to observe the infection process of <SPECIES>.."
"Furthermore, we conducted the infection process assay of <SPECIES> strain Zhong8-10-14 tagged by GFP on the leaf sheath of the control and MIM167d overexpression transgenic plants by Zeiss fluorescence microscope."," As expected, all of these genes were significantly up regulated after infection  by NC-34 at 12, 24 and 48 hpi (Figure 8)."
" At the 12 hpi, the formed appressoria was more ten percent less than wild type (Figure 9).", Peak expression occurred at either 24 or 48 hpi.
" At 24 hpi, infection the first cell of <SPECIES> was forty percent higher in the control plant (Figure 9).", The expression of these genes was between 2 and 100 fold higher in the transgenic lines relative to wild-type.
" At the 36 hpi, <SPECIES> was already infected three cells in wild plant (Figure 9).", Another noteworthy observation was that all the measured defense genes exhibited higher constitutive in the MIM167d plants compare with wild type.
"Based on the research we have got, all the target genes of miR167d which already detected can be different inhibited by miR167d at transcriptional, and its can be recovered the target mimicry of miR167d."," Meanwhile, we measured the basal level of JA  and found the JA level to be lower in wild-type plants (Figure S2B).Furthermore, at 12 hpi, the number of appressoria formed by Zhong8-10-14 on MIM167d overexpression lines was ten percent less than in wild type (Figure 9)."
 It is worth to address whether all of the target genes involved in regulated rice immunity against rice blast.," At 24 hpi, infection the first cell of <SPECIES> was forty percent higher in the control plant (Figure 9)."
" In order to conform this hypothesis, we examined the expression level in LTH and IRBLkm-Ts at a time course upon rice blast inoculation."," At the 36 hpi, <SPECIES> had already penetrated three cells deep into the leaf sheaths of the wild-type plants (Figure 9)."
" Based on the expression pattern, all the target genes divided into two groups.",We examined the expression level of miR167d target genes in LTH and IRBLkm-Ts at several time points after rice blast inoculation..
" The first group included one genes, Os12g41950, the expression level of it was increased in TTH after <SPECIES> infection at 12 and 24 hpi, but increased in the IRBLkm-Ts at 48 hpi (Figure 10)."," Os12g41950 expression was increased in TTH after <SPECIES> infection at 12 and 24 hpi, but increased in the IRBLkm-Ts at 48 hpi (Figure 10)."
" The second group include six genes, Os04g57610, Os06g03830, Os02g06910, Os07g29820, Os07g33790 and Os06g46410, all of them were increased expression both LTH and IRBLkm-Ts, however, the expression level were higher in IRBLkm-Ts compare with that in LTH (Figure 10)."," The remaining six genes, Os04g57610, Os06g03830, Os02g06910, Os07g29820, Os07g33790 and Os06g46410, were all increased expression in both lines."
" Therefore, all of these target genes of miR167d are varying degrees expressed upon <SPECIES> infection and may act different roles in rice immunity against rice blast.",  However the expression level was measurably higher in IRBLkm-Ts relative to LTH (Figure 10).
 All of the target genes are likely to contribute the resistance against rice blast in the IRBLkm-Ts.," Therefore, all of these  miR167d target genes are variably expressed upon <SPECIES> infection, and may play diverse roles in rice immunity against rice blast."
"The miR167d is conserved and has 10 family members in rice, based on the difference in the nucleotide sequence, the miR167d family can classify into two types (Figure S4), the first group is miR167a/b/c, and the other group is miR167d/e/f/g/h/i/j.", All of the target genes are likely to contribute the resistance against rice blast.
 the big difference between these two groups are that the last nucleotide site is different in the mature miR167.,Error! Hyperlink reference not valid.Error! Hyperlink reference not valid.Error! Hyperlink reference not valid.
 Predicted target genes of miR167 family were the same.," Here, we provide evidence that miR167d  acts as a negative regulator of immunity to  <SPECIES> in rice through the transcriptional modulation of its target genes."
" Based on the previous reach by degradome sequencing, there were seven target genes of miR167, among of them, there are four ARFs genes (Os04g57610, Os02g06910, Os06g46410, Os12g41950)(Li et al., 2010b), and all of these genes are involved in the auxin signal pathway.", Our expression analysis revealed that the reduction of miR167d might be a defense response in rice against <SPECIES>.
 They reserves a high homology at the nucleotide and amino acids sequences by luster method and phylogenetic tree method assay.,  Error! Hyperlink reference not valid.Error! Hyperlink reference not valid.Error! Hyperlink reference not valid.Error! Hyperlink reference not valid.
" Other target genes, Os06g03830 encode a retinol dehydrogenase 14, Os07g33790 encode a glutamate receptor 3.4 precursor.", There is good reason to hypothesize ARFs in rice controlled by miR167d are indirectly involved in  JA signaling.
 Os07g29820 encode a NBS-LRR disease resistance protein.," In addition, all of these ARF genes had a higher mRNA level in the IRBLkm-Ts than LTH (Figure 10) and were reduced in expression in the miR167d overexpression lines (Figure 5A) Overexpression of miR167d in Kasalath  produced susceptibility as measured by foliar lesions (Figure 2 and Figure S1), and the defense related genes were downregulated following inoculation by <SPECIES> (Figure 3).he <SPECIES> invasion process also appeared to be accelerated in the overexpression line compare with the wild-type (Figure 4)."
" In the previous research, miR167 family down regulate its target genes by cleavage the mRNA of target genes, especially the ARFs, which a required for growth and development, regulated the female and male reproduction, flower maturation, and jasmonic acid biosynthesis (Gutierrez et al., 2012; Wu et al., 2006).","      As expected, all the target genes of miR167d were downregulated in the transgenic lines (Figure 5A)."
" Except the roles of miR167 in the plant growth and development, the function of miR167 in the rice immunity against rice blast is still largely unknown."," Further, the  overexpression the target mimic of miR167d, in transgenic plants showed enhanced resistance against rice blast when measured by both disease phenotype and resistance gene expression (Figure 7, 8, and S3).(F the <SPECIES> invasion process was retarded in the transgenic plant (Figure 9)."
"In our research, according to the qRT-PCR assay indicated that miR167d was significantly down regulate in the IRBLkm-Ts by inoculating Guy11 since 12 hpi, until to 48 hpi (Figure 1B)."," At the same time, the target genes were upregulated compare with the control plants (Figure 6B)."
" However, in the susceptible line LTH, the expression level of miR167d was first decreased and then increased (Figure 1B).",Evidence suggests that miR167d  belongs to an ancient miRNA family that is conserved in many higher plants and regulates several developmental functions.
" At the same time, the target genes of miR16d had a higher expression level in the IRBLkm-Ts compare with LTH (Figure 10)."," In this study, we revealed that miR167d involved in the defense response against  <SPECIES> in rice, and demonstrated that miR167d can act as a negative regulator of immunity to this pathogen."
" In addition, IRBLkm-Ts developed no visible disease pots, but LTH revealed enhance disease pots on the leaves (Figure 1A).", This research may lead to improvements in the ongoing efforts to improve rice resistance through breeding methods by selecting for miR167d accumulation.
" So, reduction of miR167d might be a defense response in rice against the <SPECIES>.","Z-XZ, W-MW performed experiment design and project conception."
"Based on the previous study that miR167d could target for AFRs genes and all the miR167d regulated ARF genes are involved in the auxin signaling and plant growth and development in rice (Liu et al., 2012b)."," Z-XZ, FQ, X-LC, YZ, HW,…conducted the experiments."
" In Arabidopsis, ARF6 and ARF8 are the targets of miR167, they were involved in the auxin signaling and Arabidopsis adventitious root formation.", Z-XZ and W-MW wrote the manuscript.
" ARF6 and ARF8 act as a positive regulators and positive control the expression of GH3.3, GH3.5, and GH3.6, result in an increase in JA conjugation, and reduction the free JA (Gutierrez et al., 2012).", W-MW coordinated the overall study and edited the manuscript.
" However, ARF6 and ARF8 act as a positive regulators of JA biosynthesis at the flower development stage (Nagpal et al., 2005; Tabata et al., 2010).", Pierce A.
 There are reasons to believe that ARFs in rice controlled by miR167d are indirect involved in the JA signaling.,Supplementary figure S1.
" In addition, all of these ARF genes had a higher mRNA level in the IRBLkm-Ts than LTH (Figure 10) and down expression in the miR167d overexpression lines (Figure 5A), when overexpression the target mimicry of miR167d, the ARFs were expression higher than wild type plants (Figure 6B).","Using the spray (A, C) method to examine the resistance in overexpression miR167d lines caused by <SPECIES> strain Guy11 and NC-10 respectively."
" At the same time, Os07g29820 could encode an R protein, and it had the same expression pattern compare with ARFs.", All the diseased leaves were analyzed at 5 dpi.
" Overexpression miR167d in Kasalath showed more diseases phenotypes on the leaves (Figure 2 and Figure S1), and the defense related genes were down expression by inoculate the <SPECIES> strain (Figure 3), also the <SPECIES> invasion process was accelerated compare with the wild type (Figure 4)."," And the fungal biomass was measured by qRT-PCR (B, D)."
 And all the target genes of miR167d were down expression in the transgenic line (Figure 5A)., Error bars indicate SD (n=3).
" Last, when overexpression the target mimicry of miR167d, the transgenic plants showed enhance deference response against rice blast, including the disease phenotype was reduced (Figure 7 and Figure S3), and the defense related genes were up regulate (Figure 8), the <SPECIES> invasion process was reduced in the transgenic plant (Figure 9)."," One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the asterisks upon the error bars indicate signi?cant differences (P, 0.01)."
" At the same time, the target genes were up regulate compare with the control plants (Figure 6B).", The experiments were repeated more than two times with similar results.
The miR167d is belong to an ancient miR167 family that is conserved in many higher plants with multitudinous developmental functions.,Supplementary figure S2.
" According to the current study, we reveal that miR167d involved in the defense response against the <SPECIES> in rice, and showed that miR167d act as a negative regulator.",Seedlings with three leaves were used to examine the JA contents.
"Z-XZ, W-MW performed experiment design and project conception.", (A) Comparison of JA contents in total plants of the miR167d overexpression lines and wild type plants.
" Z-XZ, FQ, X-LC, YZ, HW,…conducted the experiments.", (B) JA contents in total plants of the MIM167d overexpression lines and wild type plants.
 Z-XZ and W-MW wrote the manuscript., JA content was tested by enzyme linked immunosorbent assay (ELISA) method.
Supplementary figure S1., Error bars indicate SD (n=6).
"Using the spray (A, C) method to examine the resistance in overexpression miR167d lines caused by <SPECIES> strain Guy11 and NC-10 respectively."," One-way ANOVA analysis was performed to determine the signi?cance of differences and the asterisks upon the error bars indicate signi?cant differences (P, 0.01)."
 All the diseased leaves were analyzed at 5 dpi.,Supplementary figure S3.
" And the fungal biomass was measured by qRT-PCR (B, D).","Using the spray (A, C) method to examine the resistance in overexpression MIM167d lines caused by <SPECIES> strain Guy11 and NC-10 respectively."
 Error bars indicate SD (n=3)., All the diseased leaves were analyzed at 5 dpi.
" One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the asterisks upon the error bars indicate signi?cant differences (P, 0.01)."," And the fungal biomass was measured by qRT-PCR (B, D)."
 The experiments were repeated more than two times with similar results., Error bars indicate SD (n=3).
Supplementary figure S2.," One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the asterisks upon the error bars indicate signi?cant differences (P, 0.01)."
Seedlings with three leaves were used to examine the JA contents., The experiments were repeated more than two times with similar results.
 (A) Comparison of JA contents in total plants of the miR167d overexpression lines and wild type plants.,Supplementary figure S4.
 (B) JA contents in total plants of the MIM167d overexpression lines and wild type plants.,All the miR167d isoforms were obtained from miRbase.
 JA content was tested by enzyme linked immunosorbent assay (ELISA) method.,Supplement table.
 Error bars indicate SD (n=6).,"Baldrich, P., Campo, S., Wu, M.T., Liu, T.T., Hsing, Y.I., and San Segundo, B."
" One-way ANOVA analysis was performed to determine the signi?cance of differences and the asterisks upon the error bars indicate signi?cant differences (P, 0.01).", (2015).
Supplementary figure S3., MicroRNA-mediated regulation of gene expression in the response of rice plants to fungal elicitors.
"Using the spray (A, C) method to examine the resistance in overexpression MIM167d lines caused by <SPECIES> strain Guy11 and NC-10 respectively."," RNA Biol 12, 847-863."
 All the diseased leaves were analyzed at 5 dpi.,"Baulcombe, D."
" And the fungal biomass was measured by qRT-PCR (B, D).", (2004).
 Error bars indicate SD (n=3)., RNA silencing in plants.
" One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the asterisks upon the error bars indicate signi?cant differences (P, 0.01)."," Nature 431, 356-363."
 The experiments were repeated more than two times with similar results.,"Baumberger, N., and Baulcombe, D."
Supplementary figure S4., (2005).
All the miR167d isoforms were obtained from miRbase., Arabidopsis ARGONAUTE1 is an RNA Slicer that selectively recruits microRNAs and short interfering RNAs.
Supplement table.," Proceedings of the National Academy of Sciences of the United States of America 102, 11928-11933."
"Baldrich, P., Campo, S., Wu, M.T., Liu, T.T., Hsing, Y.I., and San Segundo, B.","Bian, H., Xie, Y., Guo, F., Han, N., Ma, S., Zeng, Z., Wang, J., Yang, Y., and Zhu, M."
 (2015)., (2012).
 MicroRNA-mediated regulation of gene expression in the response of rice plants to fungal elicitors., Distinctive expression patterns and roles of the miRNA393/TIR1 homolog module in regulating flag leaf inclination and primary and crown root growth in rice (Oryza sativa).
" RNA Biol 12, 847-863."," The New phytologist 196, 149-161."
"Baulcombe, D.","Boccara, M., Sarazin, A., Thiebeauld, O., Jay, F., Voinnet, O., Navarro, L., and Colot, V."
 (2004)., (2014).
 RNA silencing in plants., The Arabidopsis miR472-RDR6 silencing pathway modulates PAMP-and effector-triggered immunity through the post-transcriptional control of disease resistance genes.
" Nature 431, 356-363."," PLoS pathogens 10, e1003883."
"Baumberger, N., and Baulcombe, D.","Boller, T., and Felix, G."
 (2005)., (2009).
 Arabidopsis ARGONAUTE1 is an RNA Slicer that selectively recruits microRNAs and short interfering RNAs., A renaissance of elicitors: perception of microbe-associated molecular patterns and danger signals by pattern-recognition receptors.
" Proceedings of the National Academy of Sciences of the United States of America 102, 11928-11933."," Annu Rev Plant Biol 60, 379-406."
"Bian, H., Xie, Y., Guo, F., Han, N., Ma, S., Zeng, Z., Wang, J., Yang, Y., and Zhu, M.","Boller, T., and He, S.Y."
 (2012)., (2009).
 Distinctive expression patterns and roles of the miRNA393/TIR1 homolog module in regulating flag leaf inclination and primary and crown root growth in rice (Oryza sativa)., Innate immunity in plants: an arms race between pattern recognition receptors in plants and effectors in microbial pathogens.
" The New phytologist 196, 149-161."," Science 324, 742-744."
"Boccara, M., Sarazin, A., Thiebeauld, O., Jay, F., Voinnet, O., Navarro, L., and Colot, V.","Campo, S., Peris?Peris, C., Siré, C., Moreno, A.B., Donaire, L., Zytnicki, M., Notredame, C., Llave, C., and San Segundo, B."
 (2014)., (2013).
 The Arabidopsis miR472-RDR6 silencing pathway modulates PAMP-and effector-triggered immunity through the post-transcriptional control of disease resistance genes., Identification of a novel microRNA (miRNA) from rice that targets an alternatively spliced transcript of the Nramp6 (Natural resistance?associated macrophage protein 6) gene involved in pathogen resistance.
" PLoS pathogens 10, e1003883."," New Phytologist 199, 212-227."
"Boller, T., and Felix, G.","Chen, X. (2009)."
 (2009)., Small RNAs and their roles in plant development.
 A renaissance of elicitors: perception of microbe-associated molecular patterns and danger signals by pattern-recognition receptors.," Annual Review of Cell and Developmental 25, 21-44."
" Annu Rev Plant Biol 60, 379-406.","Chen, X. (2012)."
"Boller, T., and He, S.Y.", Small RNAs in development–insights from plants.
 (2009).," Current opinion in genetics & development 22, 361-367."
 Innate immunity in plants: an arms race between pattern recognition receptors in plants and effectors in microbial pathogens.,"Chen, Z., Zheng, Z., Huang, J., Lai, Z., and Fan, B."
" Science 324, 742-744.", (2009).
"Campo, S., Peris?Peris, C., Siré, C., Moreno, A.B., Donaire, L., Zytnicki, M., Notredame, C., Llave, C., and San Segundo, B.", Biosynthesis of salicylic acid in plants.
 (2013).," Plant Signal Behav 4, 493-496."
 Identification of a novel microRNA (miRNA) from rice that targets an alternatively spliced transcript of the Nramp6 (Natural resistance?associated macrophage protein 6) gene involved in pathogen resistance.,"De-la-Peña, C., Nic-Can, G.I., Avilez-Montalvo, J., Cetz-Chel, J.E., and Loyola-Vargas, V.M."
" New Phytologist 199, 212-227.", (2017).
"Chen, X.", The Role of MiRNAs in Auxin Signaling and Regulation During Plant Development.
 (2009).," In Plant Epigenetics (Springer), pp."
 Small RNAs and their roles in plant development.,"Dou, D., and Zhou, J.M."
" Annual Review of Cell and Developmental 25, 21-44.", (2012).
"Chen, X."," Phytopathogen effectors subverting host immunity: different foes, similar battleground."
 (2012).," Cell Host Microbe 12, 484-495."
 Small RNAs in development–insights from plants.,"Franco-Zorrilla, J.M., Valli, A., Todesco, M., Mateos, I., Puga, M.I., Rubio-Somoza, I., Leyva, A., Weigel, D., Garcia, J.A., and Paz-Ares, J."
" Current opinion in genetics & development 22, 361-367.", (2007).
"Chen, Z., Zheng, Z., Huang, J., Lai, Z., and Fan, B.", Target mimicry provides a new mechanism for regulation of microRNA activity.
 (2009).," Nat Genet 39, 1033-1037."
 Biosynthesis of salicylic acid in plants.,"Gutierrez, L., Bussell, J.D., P?curar, D.I., Schwambach, J., P?curar, M., and Bellini, C."
" Plant Signal Behav 4, 493-496.", (2009).
"De-la-Peña, C., Nic-Can, G.I., Avilez-Montalvo, J., Cetz-Chel, J.E., and Loyola-Vargas, V.M.", Phenotypic plasticity of adventitious rooting in Arabidopsis is controlled by complex regulation of AUXIN RESPONSE FACTOR transcripts and microRNA abundance.
 (2017).," The Plant Cell 21, 3119-3132."
 The Role of MiRNAs in Auxin Signaling and Regulation During Plant Development.,"Gutierrez, L., Mongelard, G., Flokova, K., Pacurar, D.I., Novak, O., Staswick, P., Kowalczyk, M., Pacurar, M., Demailly, H., Geiss, G., et al."
" In Plant Epigenetics (Springer), pp.", (2012).
"Dou, D., and Zhou, J.M.", Auxin controls Arabidopsis adventitious root initiation by regulating jasmonic acid homeostasis.
 (2012).," Plant Cell 24, 2515-2527."
" Phytopathogen effectors subverting host immunity: different foes, similar battleground.","Holoch, D., and Moazed, D."
" Cell Host Microbe 12, 484-495.", (2015).
"Franco-Zorrilla, J.M., Valli, A., Todesco, M., Mateos, I., Puga, M.I., Rubio-Somoza, I., Leyva, A., Weigel, D., Garcia, J.A., and Paz-Ares, J.", RNA-mediated epigenetic regulation of gene expression.
 (2007).," Nature reviews Genetics 16, 71-84."
 Target mimicry provides a new mechanism for regulation of microRNA activity.,"Huang, Y.-Y., Shi, Y., Lei, Y., Li, Y., Fan, J., Xu, Y.-J., Ma, X.-F., Zhao, J.-Q., Xiao, S., and Wang, W.-M."
" Nat Genet 39, 1033-1037.", (2014).
"Gutierrez, L., Bussell, J.D., P?curar, D.I., Schwambach, J., P?curar, M., and Bellini, C.", Functional identification of multiple nucleocytoplasmic trafficking signals in the broad-spectrum resistance protein RPW8.
 (2009)., 2.
 Phenotypic plasticity of adventitious rooting in Arabidopsis is controlled by complex regulation of AUXIN RESPONSE FACTOR transcripts and microRNA abundance.," Planta 239, 455-468."
" The Plant Cell 21, 3119-3132.","Jones-Rhoades, M.W., Bartel, D.P., and Bartel, B."
"Gutierrez, L., Mongelard, G., Flokova, K., Pacurar, D.I., Novak, O., Staswick, P., Kowalczyk, M., Pacurar, M., Demailly, H., Geiss, G., et al.", (2006).
 (2012)., MicroRNAs and their regulatory roles in plants.
 Auxin controls Arabidopsis adventitious root initiation by regulating jasmonic acid homeostasis.," Annu Rev Plant Biol 57, 19-53."
" Plant Cell 24, 2515-2527.","Jones, J.D., and Dangl, J.L."
"Holoch, D., and Moazed, D.", (2006).
 (2015)., The plant immune system.
 RNA-mediated epigenetic regulation of gene expression.," Nature 444, 323-329."
" Nature reviews Genetics 16, 71-84.","Katiyar-Agarwal, S., and Jin, H."
